,Date,Visits
0,2022-11-07,650900
1,2022-11-08,659400
2,2022-11-09,693300
3,2022-11-10,642000
4,2022-11-11,579700
5,2022-11-12,551800
6,2022-11-13,548000
7,2022-11-14,589900
8,2022-11-15,601600
9,2022-11-16,599300
10,2022-11-17,546500
11,2022-11-18,571600
12,2022-11-19,467700
13,2022-11-20,512800
14,2022-11-21,575100
15,2022-11-22,565800
16,2022-11-23,619000
17,2022-11-24,563600
18,2022-11-25,538300
19,2022-11-26,497500
20,2022-11-27,531400
21,2022-11-28,598300
22,2022-11-29,674900
23,2022-11-30,788400
24,2022-12-01,1600000
25,2022-12-02,2400000
26,2022-12-03,2500000
27,2022-12-04,3100000
28,2022-12-05,4900000
29,2022-12-06,6700000
30,2022-12-07,7400000
31,2022-12-08,8500000
32,2022-12-09,8400000
33,2022-12-10,8100000
34,2022-12-11,9300000
35,2022-12-12,12400000
36,2022-12-13,12700000
37,2022-12-14,12000000
38,2022-12-15,12500000
39,2022-12-16,11900000
40,2022-12-17,10300000
41,2022-12-18,9800000
42,2022-12-19,12400000
43,2022-12-20,13000000
44,2022-12-21,12200000
45,2022-12-22,12500000
46,2022-12-23,12100000
47,2022-12-24,11100000
48,2022-12-25,10900000
49,2022-12-26,12500000
50,2022-12-27,13000000
51,2022-12-28,12800000
52,2022-12-29,13200000
53,2022-12-30,12600000
54,2022-12-31,11300000
55,2023-01-01,11600000
56,2023-01-02,15000000
57,2023-01-03,15700000
58,2023-01-04,16500000
59,2023-01-05,17100000
60,2023-01-06,17300000
61,2023-01-07,16100000
62,2023-01-08,16800000
63,2023-01-09,20200000
64,2023-01-10,21800000
65,2023-01-11,21900000
66,2023-01-12,22000000
67,2023-01-13,20600000
68,2023-01-14,18900000
69,2023-01-15,19600000
70,2023-01-16,24000000
71,2023-01-17,24200000
72,2023-01-18,23800000
73,2023-01-19,23900000
74,2023-01-20,22300000
75,2023-01-21,20600000
76,2023-01-22,20900000
77,2023-01-23,25600000
78,2023-01-24,26500000
79,2023-01-25,25800000
80,2023-01-26,26700000
81,2023-01-27,25400000
82,2023-01-28,22600000
83,2023-01-29,24000000
84,2023-01-30,29100000
85,2023-01-31,30600000
86,2023-02-01,29200000
87,2023-02-02,29400000
88,2023-02-03,29300000
89,2023-02-04,26500000
